JOBYEAR,JOBSERIES,JOBNO,JOBDATE,DEPTYPE,DEPTCODE,INDENTOR,MACHTYPE,MACHCODE
20122013,MS,108,16/03/2013,D,4,160, ,
20122013,MS,109,25/03/2013,D,4,106, ,
20122013,PR,89,01/03/2013,D,901,182,M,117
20122013,PR,90,07/03/2013,D,504,182,M,115
20122013,PR,91,07/03/2013,D,308,103,M,112
20122013,PR,92,12/03/2013,D,507,107,M,117
20122013,PR,93,15/03/2013,D,203,182,M,118
20122013,PR,94,16/03/2013,D,507,107,M,117
20122013,PR,94,16/03/2013,D,507,107,M,117
20122013,PR,95,16/03/2013,D,504,182,M,115
20122013,PR,96,18/03/2013,D,3,106,M,114
20122013,PR,97,20/03/2013,D,507,107,M,117
20122013,PR,98,21/03/2013,D,3,182,M,114
20122013,PR,99,21/03/2013,D,504,182,M,116
20122013,PR,100,25/03/2013,D,504,182,M,115
20122013,PR,101,26/03/2013,D,4,106,M,120
20122013,PR,102,30/03/2013,D,507,107,M,117
20122013,TM,282,15/03/2013,D,406,182, ,
20122013,TM,402,02/03/2013,D,409,104, ,
20122013,TM,403,02/03/2013,D,306,130, ,
20122013,TM,404,05/03/2013,D,507,153, ,
20122013,TM,405,05/03/2013,D,308,104, ,
20122013,TM,406,06/03/2013,D,406,182, ,
20122013,TM,407,09/03/2013,D,406,182, ,
20122013,TM,408,09/03/2013,D,1**,182, ,
20122013,TM,409,11/03/2013,D,406,106, ,
20122013,TM,410,11/03/2013,D,4**,240, ,
20122013,TM,411,12/03/2013,D,504,124, ,
20122013,TM,412,13/03/2013,D,8,106, ,
20122013,TM,413,18/03/2013,D,504,106, ,
20122013,TM,414,19/03/2013,D,101,103, ,
20122013,TM,415,19/03/2013,D,308,104, ,
20122013,TM,416,21/03/2013,D,901,150, ,
20122013,TM,417,21/03/2013,D,601,153, ,
20122013,TM,418,21/03/2013,D,406,182, ,
20122013,TM,419,21/03/2013,D,406,182, ,
20122013,TM,420,23/03/2013,D,1**,160, ,
20122013,TM,421,23/03/2013,D,308,104, ,
20122013,TM,422,25/03/2013,D,409,104, ,
20122013,TM,423,26/03/2013,D,406,125, ,
20122013,TM,424,26/03/2013,D,302,125, ,
20122013,TM,425,28/03/2013,D,901,150, ,
20122013,TM,425,28/03/2013,D,901,150, ,
20122013,TM,426,29/03/2013,D,308,104, ,
20122013,TM,426,29/03/2013,D,308,104, ,
20122013,TM,427,29/03/2013,D,308,104, ,
20122013,TM,428,29/03/2013,D,504,124, ,
20122013,TM,429,29/03/2013,D,414,182, ,
20122013,TM,430,30/03/2013,D,1,122, ,
20122013,TM,430,30/03/2013,D,1,122, ,
20122013,TM,430,30/03/2013,D,1,122, ,
20122013,TM,431,30/03/2013,D,901,150, ,
20122013,TM,432,31/03/2013,D,504,182, ,
20122013,TM,433,31/03/2013,D,406,182, ,
20122013,TM,434,31/03/2013,D,1,122, ,
20122013,TM,437,31/03/2013,D,201,127, ,
